run_id,checkpoint_name,architecture,seed,stage,task_success,scenario_macro_success,reward,oracle_regret,llm_call_rate,required_call_recall,required_call_precision,required_call_f1,false_call_rate,missed_required_rate,action_macro_f1,action_entropy_nats,resource_cost,language_cost,language_latency_steps,memory_retention,habituation_sequence_success,novelty_reaction,params,active_connections,gates,cpu_inference_ms_mean,cpu_inference_ms_median,cpu_inference_ms_p95
gru128-s0-B0,imitation_best.pt,gru128,0,imitation,1.0,1.0,1.0036797523498535,0.015851497650146484,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8598441056507199,0.2935168933800042,0.013437499292194843,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.030324504999999998,0.029752,0.03199799999999999
gru128-s0-B0,imitation_final.pt,gru128,0,imitation,1.0,1.0,1.0034297704696655,0.016101479530334473,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8336089509140551,0.3091379022180014,0.013515625149011612,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029874200000000004,0.0297515,0.030729999999999997
gru128-s0-B1,ppo_final.pt,gru128,0,ppo,0.68359375,0.6547244936227798,0.36493751406669617,0.6545937359333038,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7859505004639599,0.2665272589739744,0.009140623733401299,0.01835937611758709,3.0,0.4864864945411682,0.0,0.5,56967,56192,384,0.029773310000000004,0.029627,0.0309278
gru128-s0-B2,ppo_final.pt,gru128,0,ppo,1.0,1.0,1.006812572479248,0.012718677520751953,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9064656917759177,0.26290666240793636,0.010468749329447746,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029786194999999998,0.0296565,0.030754399999999994
gru128-s0-B3,ppo_final.pt,gru128,0,ppo,1.0,1.0,1.0054062604904175,0.01412498950958252,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8919526586588274,0.2748593745110701,0.011874999850988388,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029844464999999997,0.029689,0.03064425
gru128-s0-B4,ppo_final.pt,gru128,0,ppo,1.0,1.0,0.9888203144073486,0.030710935592651367,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7470563843687731,0.4164354859741231,0.02812499739229679,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029692939999999998,0.029614500000000002,0.030397449999999996
gru128-s0-B5,ppo_final.pt,gru128,0,ppo,0.62890625,0.6171372756361961,0.2610234320163727,0.7585078179836273,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.7210824361359758,0.2829043327732048,0.013554686680436134,0.01835937611758709,3.0,0.13513512909412384,1.0,1.0,56967,56192,384,0.02955441,0.0294495,0.0303482
gru128-s0-B6,ppo_final.pt,gru128,0,ppo,1.0,1.0,1.0065780878067017,0.01295316219329834,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.9038131947145467,0.2649372221142186,0.010703124105930328,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029431275,0.0293265,0.03010415
gru128-s0-B7,ppo_final.pt,gru128,0,ppo,1.0,1.0,1.0025155544281006,0.017015695571899414,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8591268670347936,0.288940310391273,0.014765625819563866,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029575149999999998,0.0294925,0.0301446
gru128-s0-B8,ppo_final.pt,gru128,0,ppo,1.0,1.0,1.0051640272140503,0.014367222785949707,0.3671875,1.0,0.4787234042553192,0.6474820143884892,0.23222748815165878,0.0,0.8736726825043503,0.28363560148992223,0.011953124776482582,0.01835937611758709,3.0,1.0,1.0,1.0,56967,56192,384,0.029444745,0.0293625,0.030279949999999996
